receiptno,completiontime,details,transactionstatus,paidin,withdrawn,balance
RJLDDMTMX5,2024-01-03,KCB M-PESA Withdrawal from Account TPFPADDGFA1U,COMPLETED,2769.84,0.0,-142477.49
MS4JUBIF86,2024-01-05,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,47.34,-142524.83
A2YKVB8P5O,2024-01-14,M-Shwari Withdrawal from Account JPTA8P5I1UCD,COMPLETED,2871.26,0.0,-139653.57
5IEC10W0G7,2024-01-14,Customer Withdrawal At Agent Till 860404 - Thomas Group Agency,COMPLETED,0.0,8298.44,-147952.01
MHK6CTEC0R,2024-01-16,"Deposit of Funds at Agent Till 785031 - Bruce, Ross and Reyes Agency",COMPLETED,3548.39,0.0,-144403.62
TOGJC4S6MA,2024-01-18,Customer Transfer Fuliza to - 071*******004 Victoria Smith,COMPLETED,0.0,723.59,-145127.21
I2X3YGE73S,2024-01-21,Pay Bill Online to 386627 - Water Company,COMPLETED,0.0,8831.66,-153958.87
MJLXEIZY4X,2024-01-22,Term Loan Disbursement - Hustler Fund,COMPLETED,1466.58,0.0,-152492.29
TZOUE9679T,2024-01-22,Pay Bill Charge,COMPLETED,0.0,28.39,-152520.68
APJ1DU8GBM,2024-01-24,Customer Transfer of Funds Charge,COMPLETED,0.0,41.96,-152562.64
X9FLK75DU0,2024-01-26,Customer Payment to Small Business from - 072*******344 Cindy Fernandez,COMPLETED,4384.9,0.0,-148177.74
SC7DVACY8M,2024-02-02,"Pay Merchant to 356215 - Brown, Horne and Davis",COMPLETED,0.0,3603.27,-151781.01
NTPVZXAUGS,2024-02-03,Small Business Payment to - 070*******828 Samuel Mitchell,COMPLETED,0.0,2688.11,-154469.12
ABATZ2X92F,2024-02-03,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,156.45,-154625.57
J1A859309V,2024-02-04,Customer Transfer to - 071*******165 Troy Love,COMPLETED,0.0,1323.54,-155949.11
5EEN6HA4S9,2024-02-04,"Pay Merchant to 306164 - Patrick, Dean and Aguilar",COMPLETED,0.0,3974.09,-159923.2
QVI3N1AD5Y,2024-02-06,Overdraft of Credit Party,COMPLETED,2290.29,0.0,-157632.91
9OFL2HQB07,2024-02-07,Customer Transfer of Funds Charge,COMPLETED,0.0,5.57,-157638.48
26YFHJYF80,2024-02-07,Small Business Transfer to Other Small Business from - CHEMIST PLUS,COMPLETED,2665.68,0.0,-154972.8
H5NTL8YV0H,2024-02-07,Customer Withdrawal At Agent Till 357977 - Gray and Sons Agency,COMPLETED,0.0,8698.86,-163671.66
E5IVR47UYL,2024-02-08,"Customer Withdrawal At Agent Till 863897 - Peterson, Garner and Cohen Agency",COMPLETED,0.0,7270.68,-170942.34
DNF7RJRMQ2,2024-02-10,"Salary Payment from - Carpenter, Moyer and King",COMPLETED,3806.2,0.0,-167136.14
68ONQIQQU1,2024-02-11,Customer Transfer Fuliza to - 2547*******289 Victoria Smith,COMPLETED,0.0,447.81,-167583.95
ORD2KJ6JQB,2024-02-17,Funds received from - 072*******371 Troy Love,COMPLETED,176.18,0.0,-167407.77
ZL9P7DUMO0,2024-02-20,"Merchant Payment Online to 233493 - Smith, Mathis and Smith",COMPLETED,0.0,3564.88,-170972.65
W714V9CY5Q,2024-02-20,Customer Payment to Small Business from - 072*******584 David Hines,COMPLETED,4474.9,0.0,-166497.75
DB4AX8KF9J,2024-02-20,Customer Transfer of Funds Charge,COMPLETED,0.0,20.46,-166518.21
UB06B6TR97,2024-02-21,Pay Bill Online to 608918 - Showmax Acc. YZL2JCE2QBB7,COMPLETED,0.0,4074.96,-170593.17
3AIOP865FZ,2024-02-21,Pay Bill Charge,COMPLETED,0.0,30.55,-170623.72
BJU7I0CIDD,2024-02-21,Customer Transfer of Funds Charge,COMPLETED,0.0,36.08,-170659.8
ZL88KFUT8S,2024-02-23,Customer Transfer of Funds Charge,COMPLETED,0.0,19.37,-170679.17
ZEQNOKM7SJ,2024-02-24,Pay Bill Online to 932570 - DSTV Acc. W2YK7Z08K584,COMPLETED,0.0,9430.87,-180110.04
STENGZUKCI,2024-02-25,M-Shwari Lock Savings to Account AKMKKIDBL0QL,COMPLETED,0.0,4037.0,-184147.04
UYRQD4QPYM,2024-02-26,Customer Transfer to - 077*******548 Morgan Ellis,COMPLETED,0.0,2354.11,-186501.15
8A2TAFPKZB,2024-02-26,"Merchant Customer Payment from - Chandler, May and Morales",COMPLETED,3372.82,0.0,-183128.33
0YFXAL52BR,2024-02-27,Merchant Payment Online to 965435 - Stone-Love,COMPLETED,0.0,1492.92,-184621.25
W8MJGNF70S,2024-02-27,Customer Payment to Small Business from - 077*******053 Victoria Brown,COMPLETED,4095.03,0.0,-180526.22
5GNXM2KH6E,2024-03-07,Pay Bill Online to 230895 - Water Company Acc. 7XL77JJ12M50,COMPLETED,0.0,2820.88,-183347.1
2WHWT24WIR,2024-03-07,Funds received from - 2540*******603 Preston Fowler,COMPLETED,3689.59,0.0,-179657.51
G3U947ISV9,2024-03-10,Customer Send Money to Micro SME Business to - 071*******421 KINYOZI BARBER,COMPLETED,0.0,1660.73,-181318.24
S3279OA46F,2024-03-10,Pay Bill Online to 871364 - Airtel Money Acc. 15OMUEF0CUII,COMPLETED,0.0,7345.41,-188663.65
Y83I87UQXC,2024-03-14,Customer Transfer Fuliza to - 072*******456 Deanna Sanchez,COMPLETED,0.0,1677.62,-190341.27
2Y9LX3YV3W,2024-03-15,Customer Transfer to - 2541*******008 Kathy Crawford,COMPLETED,0.0,573.64,-190914.91
XBSVCSSGSO,2024-03-16,Customer Transfer to - 2540*******397 Eddie Smith,COMPLETED,0.0,1572.22,-192487.13
VMS33MT2JQ,2024-03-17,"Deposit of Funds at Agent Till 591439 - English, Carter and Murphy Agency",COMPLETED,4184.86,0.0,-188302.27
QBB39ORFPA,2024-03-23,Customer Send Money to Micro SME Business to - 070*******709 JANE'S SALON,COMPLETED,0.0,756.23,-189058.5
9E84HWMU1O,2024-03-25,Pay Bill Online to 449224 - Co-operative Bank Acc. R8T1593U72F4,COMPLETED,0.0,5136.7,-194195.2
CC7MVQCYF8,2024-03-26,Pay Bill Charge,COMPLETED,0.0,40.08,-194235.28
P4T4PIYFYG,2024-03-26,Merchant Payment Online to 959323 - Hill Group,COMPLETED,0.0,2890.0,-197125.28
IP4SU3DS9T,2024-03-30,Customer Transfer to - 2542*******255 Susan Burns,COMPLETED,0.0,1342.7,-198467.98
TXQMPOTF9U,2024-03-31,Customer Payment to Small Business to - 071*******606 MAMA MBOGA TRADERS,COMPLETED,0.0,466.48,-198934.46
C00BYT2DXO,2024-03-31,"Pay Merchant to 582181 - Russell, Avila and Jennings",COMPLETED,0.0,3450.34,-202384.8
HUMEQ0ZQ4G,2024-04-01,"Customer Withdrawal At Agent Till 215955 - Butler, Coleman and Smith Agency",COMPLETED,0.0,6814.19,-209198.99
0N1CMO8UPV,2024-04-04,"Merchant Customer Payment from - Hood, Black and Burke",COMPLETED,4530.42,0.0,-204668.57
YC57ZEKYRS,2024-04-06,Customer Withdrawal At Agent Till 740439 - Hensley and Sons Agency,COMPLETED,0.0,3828.52,-208497.09
VOGAUFN8AN,2024-04-06,Airtime Purchase for 2540*******301,COMPLETED,0.0,265.56,-208762.65
NIUVSZ8AA4,2024-04-06,Customer Send Money to Micro SME Business to - 070*******746 JANE'S SALON,COMPLETED,0.0,1594.09,-210356.74
PUONY5H7UJ,2024-04-07,Airtime Purchase for 072*******245,COMPLETED,0.0,102.61,-210459.35
F5CR69SLT9,2024-04-07,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,95.2,-210554.55
WUTX3TS5DG,2024-04-11,Customer Payment to Small Business from - 2542*******257 Dr. Amy Bradshaw,COMPLETED,1052.12,0.0,-209502.43
5U8IY3G90G,2024-04-16,Pay Bill Charge,COMPLETED,0.0,49.98,-209552.41
RQWWNZZBH4,2024-04-18,Pay Merchant to 665942 - Johns-Davis,COMPLETED,0.0,2729.45,-212281.86
UYBFIGLJEE,2024-04-18,Pay Bill Charge,COMPLETED,0.0,23.34,-212305.2
EUE61XM57Y,2024-04-21,M-Shwari Deposit to Account J027BC1CDGAW,COMPLETED,0.0,3779.15,-216084.35
P7S4F4T39Q,2024-04-27,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,56.94,-216141.29
1WN0LLASRL,2024-04-28,"Deposit of Funds at Agent Till 136598 - Butler, Coleman and Smith Agency",COMPLETED,3262.34,0.0,-212878.95
MT2HWD5N39,2024-04-29,Customer Transfer of Funds Charge,COMPLETED,0.0,34.34,-212913.29
HHQ8TJB26F,2024-05-05,M-Shwari Deposit to Account 9RPYNEDTOVRD,COMPLETED,0.0,1636.17,-214549.46
S6XN41GJOC,2024-05-06,Pay Bill Charge,COMPLETED,0.0,40.22,-214589.68
IEBHU57EIW,2024-05-11,Customer Transfer of Funds Charge,COMPLETED,0.0,24.86,-214614.54
W57C0F668B,2024-05-15,Pay Bill Online to 563283 - Airtel Money,COMPLETED,0.0,4483.17,-219097.71
XWSZCF3UM6,2024-05-17,Customer Payment to Small Business to - 2540*******948 JANE'S SALON,COMPLETED,0.0,586.74,-219684.45
J1AUCZ50YQ,2024-05-17,"Customer Withdrawal At Agent Till 686325 - Rollins, Taylor and Anderson Agency",COMPLETED,0.0,2127.79,-221812.24
MWJV1AJ6WF,2024-05-18,"Customer Withdrawal At Agent Till 809668 - Henderson, Mcdaniel and Harrison Agency",COMPLETED,0.0,6240.88,-228053.12
CIW3PRTYN9,2024-05-22,Customer Transfer of Funds Charge,COMPLETED,0.0,15.06,-228068.18
FYW4J2XCQF,2024-05-22,Customer Send Money to Micro SME Business to - 072*******316 JANE'S SALON,COMPLETED,0.0,1494.72,-229562.9
AO2UOVL1SM,2024-05-23,Reversal of Transaction 0WZUCGATH3 - Katie Nelson,COMPLETED,817.69,0.0,-228745.21
JQ0G5M6ASX,2024-05-24,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,134.7,-228879.91
FVCEJXBO38,2024-05-25,"Customer Withdrawal At Agent Till 153888 - Rollins, Taylor and Anderson Agency",COMPLETED,0.0,7535.43,-236415.34
HJEXMZJY2K,2024-05-26,"Business Payment from - George, Griffin and Peterson",COMPLETED,4555.99,0.0,-231859.35
IJD3ZA62R8,2024-05-27,Term Loan Repayment - Hustler Fund,COMPLETED,0.0,1983.55,-233842.9
6YRUVEYG6C,2024-05-27,Customer Transfer to - 070*******495 David Hines,COMPLETED,0.0,937.68,-234780.58
YS0HX0VTYU,2024-05-31,Airtime Purchase for 2547*******307,COMPLETED,0.0,378.13,-235158.71
0HWWRHAB6Y,2024-05-31,Customer Transfer to - 077*******674 Angela Young,COMPLETED,0.0,562.54,-235721.25
IHCKFXB1PA,2024-06-05,Small Business Payment to - 2542*******304 David Lucas,COMPLETED,0.0,2101.68,-237822.93
N3ROH43I6S,2024-06-09,Customer Send Money to Micro SME Business received from - 072*******783 Julie Meyer,COMPLETED,271.44,0.0,-237551.49
DDWZSU9QCT,2024-06-09,Merchant Customer Payment from - Barnes Group,COMPLETED,4382.11,0.0,-233169.38
MBUVNIFDA1,2024-06-12,Funds received from - 071*******054 Morgan Ellis,COMPLETED,2130.34,0.0,-231039.04
0Q68DK6COF,2024-06-13,Merchant Payment Online to 803271 - Jenkins and Sons,COMPLETED,0.0,2353.44,-233392.48
ZPY4OSOOYJ,2024-06-13,Airtime Purchase for 077*******437 - Zachary Key,COMPLETED,0.0,319.09,-233711.57
MVJC5FEVQ8,2024-06-14,Customer Send Money to Micro SME Business to - 2547*******923 BODABODA SACCO,COMPLETED,0.0,2286.34,-235997.91
9ZXT0K68S2,2024-06-15,Pay Bill Online to 997203 - NHIF Acc. JZ69HE6NIUMJ,COMPLETED,0.0,2634.44,-238632.35
SYSBXDRY9Z,2024-06-20,Funds received from - 2541*******978 Victoria Smith,COMPLETED,686.49,0.0,-237945.86
A8UDKQ9IU8,2024-06-21,Pay Merchant to 788438 - Morgan Group,COMPLETED,0.0,2794.14,-240740.0
ZS8B1C81RA,2024-06-22,Merchant Payment Online to 140305 - Jackson-Ray,COMPLETED,0.0,3564.51,-244304.51
87C2BK5BX2,2024-06-30,Pay Bill Charge,COMPLETED,0.0,5.73,-244310.24
LNWVTU9F3V,2024-06-30,Customer Transfer Fuliza to - 077*******164 Deanna Sanchez,COMPLETED,0.0,2375.05,-246685.29
KYOTNB8ZP4,2024-07-01,Funds received from - 071*******398 James Clayton,COMPLETED,3978.87,0.0,-242706.42
07W9OXKMA8,2024-07-04,Customer Send Money to Micro SME Business to - 071*******998 KINYOZI BARBER,COMPLETED,0.0,2539.53,-245245.95
8XBDG3A718,2024-07-05,Merchant Customer Payment from - Gamble-Hobbs,COMPLETED,2818.55,0.0,-242427.4
BWS5D1OWRT,2024-07-05,Customer Transfer of Funds Charge,COMPLETED,0.0,13.21,-242440.61
BFXGM17S9Q,2024-07-05,Customer Payment to Small Business to - 072*******804 MPESA AGENT 001,COMPLETED,0.0,704.33,-243144.94
PQKO21FCZN,2024-07-05,"Customer Withdrawal At Agent Till 984388 - Perez, Smith and Murray Agency",COMPLETED,0.0,9958.79,-253103.73
443N74ZJI9,2024-07-05,Pay Bill Online to 417957 - KPLC PREPAID,COMPLETED,0.0,9603.05,-262706.78
SG7EZWMIO2,2024-07-06,"Business Payment from - Sullivan, Buck and Smith",COMPLETED,4525.7,0.0,-258181.08
1ZOKHX8B1E,2024-07-06,Pay Bill Online to 820339 - KCB Bank Acc. LAL1WH2FJ2KL,COMPLETED,0.0,6499.48,-264680.56
8HNLGND38J,2024-07-06,Airtime Purchase for 077*******221,COMPLETED,0.0,480.98,-265161.54
2JLJ9483FS,2024-07-06,"Deposit of Funds at Agent Till 512345 - Baker, Williams and Austin Agency",COMPLETED,6688.87,0.0,-258472.67
ZC9IF6MVT9,2024-07-06,M-Shwari Withdrawal from Account VJIA317YA0JA,COMPLETED,1289.96,0.0,-257182.71
KAQ3Z659S2,2024-07-06,Pay Bill Charge,COMPLETED,0.0,29.35,-257212.06
C08L8SMVLC,2024-07-06,Airtime Purchase for 2541*******965,COMPLETED,0.0,192.35,-257404.41
RG0K44B355,2024-07-07,OD Loan Repayment to 232323 - M-PESA Overdraw,COMPLETED,0.0,431.3,-257835.71
KV60HYKDY5,2024-07-07,Airtime Purchase for 070*******347,COMPLETED,0.0,75.61,-257911.32
VR4QJFF363,2024-07-07,Funds received from - 2540*******220 Samuel Mitchell,COMPLETED,1232.17,0.0,-256679.15
8O2V1XVFXV,2024-07-07,SMS Bundle Purchase - 100 SMS,COMPLETED,0.0,107.82,-256786.97
MZ2KCH187Z,2024-07-08,SMS Bundle Purchase - 100 SMS,COMPLETED,0.0,86.63,-256873.6
HDIO9PXG1Z,2024-07-08,OD Loan Repayment to 232323 - M-PESA Overdraw,COMPLETED,0.0,1406.29,-258279.89
QMAL0KJ913,2024-07-08,Customer Transfer of Funds Charge,COMPLETED,0.0,20.57,-258300.46
DX5IY2634W,2024-07-08,OD Loan Repayment to 232323 - M-PESA Overdraw,COMPLETED,0.0,1344.86,-259645.32
VIQWB5QJCS,2024-07-08,M-Shwari Deposit to Account XYSCEYC2DX4O,COMPLETED,0.0,3852.83,-263498.15
UJC77628J6,2024-07-08,Pay Bill Charge,COMPLETED,0.0,49.07,-263547.22
Y3FCG15TII,2024-07-09,Customer Transfer of Funds Charge,COMPLETED,0.0,26.28,-263573.5
RQNZ7FSSMQ,2024-07-09,Customer Transfer to - 2547*******589 Timothy Kelly,COMPLETED,0.0,991.02,-264564.52
7U495HXFP3,2024-07-09,Pay Bill Online to 252982 - Netflix Kenya Acc. 58RB8MM3ZK55,COMPLETED,0.0,8875.22,-273439.74
CT2Y5GKVTL,2024-07-11,Deposit of Funds at Agent Till 539675 - Hensley and Sons Agency,COMPLETED,9849.21,0.0,-263590.53
M0UWQ9MOJS,2024-07-11,Pay Bill Online to 769552 - Water Company,COMPLETED,0.0,4272.21,-267862.74
P8PMTKVEN8,2024-07-11,Pay Bill Charge,COMPLETED,0.0,6.87,-267869.61
DFHSIHQAJ1,2024-07-11,Customer Payment to Small Business to - 2542*******300 CHEMIST PLUS,COMPLETED,0.0,107.35,-267976.96
70YJF0PO8G,2024-07-12,Pay Bill Charge,COMPLETED,0.0,31.38,-268008.34
ZXIY2WFEBA,2024-07-12,Customer Payment to Small Business to - 2540*******691 MPESA AGENT 001,COMPLETED,0.0,2724.67,-270733.01
48SV3T9RUF,2024-07-12,Airtime Purchase for 2540*******974,COMPLETED,0.0,355.15,-271088.16
NBO8RVNCRE,2024-07-12,Pay Bill Online to 347386 - Safaricom PLC Acc. 0NZKR5BY99IR,COMPLETED,0.0,614.88,-271703.04
UTTYFKMOJ8,2024-07-13,"Deposit of Funds at Agent Till 853683 - Johnson, Campos and Santiago Agency",COMPLETED,6925.49,0.0,-264777.55
AHJQJWM2TG,2024-07-13,Term Loan Disbursement - Hustler Fund,COMPLETED,1250.46,0.0,-263527.09
RU9LR7JWHL,2024-07-13,Customer Send Money to Micro SME Business received from - 071*******341 Carlos Collins,COMPLETED,3995.81,0.0,-259531.28
H8W8MYB9E5,2024-07-14,Pay Bill Online to 578769 - Sportpesa Acc. G2VALGPLPFV0,COMPLETED,0.0,5199.86,-264731.14
Y7C2K4VQTF,2024-07-14,Airtime Purchase for 2542*******190,COMPLETED,0.0,429.5,-265160.64
AHGMYM5OZ0,2024-07-14,Pay Bill Online to 278835 - DSTV Acc. QDQ0CGLMBIIE,COMPLETED,0.0,8182.08,-273342.72
QTOTW9DJMH,2024-07-14,Customer Transfer of Funds Charge,COMPLETED,0.0,47.63,-273390.35
DW8MU77526,2024-07-15,"Salary Payment from - Miller, White and Wilson",COMPLETED,4308.46,0.0,-269081.89
7FZKFP2GXX,2024-07-15,Pay Bill Charge,COMPLETED,0.0,22.14,-269104.03
KPD8P40984,2024-07-15,Salary Payment from - Hamilton Ltd,COMPLETED,2550.19,0.0,-266553.84
28I3NZCWIL,2024-07-15,Funds received from - 071*******915 Austin Eaton,COMPLETED,2607.9,0.0,-263945.94
R2M3ENK6CT,2024-07-16,Pay Bill Online to 660528 - Equity Bank,COMPLETED,0.0,1135.29,-265081.23
IH38BK8JGJ,2024-07-16,Customer Transfer to - 077*******174 Karen Brown,COMPLETED,0.0,1010.45,-266091.68
SGXVXBEX21,2024-07-16,Customer Transfer to - 2540*******347 Mary Lawrence,COMPLETED,0.0,2144.47,-268236.15
JEPHCF5FQU,2024-07-16,Pay Bill Online to 851104 - Betika Acc. Y96OKKF6VFWD,COMPLETED,0.0,7693.96,-275930.11
7Z003VO4DK,2024-07-16,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,24.68,-275954.79
6YPQC9OBJW,2024-07-16,Pay Bill Online to 575873 - NHIF Acc. BTGG9DKFPYTG,COMPLETED,0.0,3881.78,-279836.57
SF25W8P6N3,2024-07-17,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,113.33,-279949.9
6FICZPXZG0,2024-07-17,Customer Send Money to Micro SME Business with Fuliza MPesa to - 2547*******360 JANE'S SALON,COMPLETED,0.0,1401.4,-281351.3
Z1SU9Y5ESQ,2024-07-17,Reversal of Transaction GIIFH8L22W - Bruce Gallegos,COMPLETED,433.47,0.0,-280917.83
35V00A2UBU,2024-07-18,Funds received from - 2540*******790 Deanna Sanchez,COMPLETED,2611.47,0.0,-278306.36
TVNKHW2QPM,2024-07-18,Customer Transfer to - 071*******336 Bruce Gallegos,COMPLETED,0.0,1327.41,-279633.77
A0X3CQKZAQ,2024-07-18,Customer Send Money to Micro SME Business to - 070*******039 KINYOZI BARBER,COMPLETED,0.0,1322.96,-280956.73
3IROORFK3D,2024-07-19,Airtime Purchase for 070*******802,COMPLETED,0.0,240.87,-281197.6
UZU0OSDU5L,2024-07-19,Pay Bill Online to 868630 - DSTV Acc. 7MWLS9OZX23U,COMPLETED,0.0,2150.76,-283348.36
CGFB9SB2SK,2024-07-19,Customer Transfer of Funds Charge,COMPLETED,0.0,10.23,-283358.59
9B7OE1YFB8,2024-07-20,M-Shwari Deposit to Account A7E6IY1YMEDR,COMPLETED,0.0,2281.3,-285639.89
MOCF75UQ91,2024-07-20,Merchant Customer Payment from - Lambert Inc,COMPLETED,819.19,0.0,-284820.7
QY2S8HQKNP,2024-07-20,Airtime Purchase for 072*******598,COMPLETED,0.0,127.31,-284948.01
LMOWRH1EVN,2024-07-20,Overdraft of Credit Party,COMPLETED,1058.45,0.0,-283889.56
4430VA8ZC5,2024-07-20,"Merchant Payment Online to 526256 - Garcia, Barrera and Olson",COMPLETED,0.0,2175.68,-286065.24
0ZCA88AOFN,2024-07-20,Customer Transfer to - 2542*******691 Morgan Ellis,COMPLETED,0.0,1215.66,-287280.9
PNCPDSY8IF,2024-07-21,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,70.86,-287351.76
ZIBKTCV2AK,2024-07-21,Pay Bill Online to 306286 - Equity Bank Acc. 1JLGJN2YXMVZ,COMPLETED,0.0,7452.06,-294803.82
3JX3NRD6X1,2024-07-21,Merchant Payment Online to 714209 - Choi and Sons,COMPLETED,0.0,4615.72,-299419.54
10G9M4H8E0,2024-07-22,Customer Payment to Small Business to - 2541*******811 BODABODA SACCO,COMPLETED,0.0,1306.56,-300726.1
7RLW4439IY,2024-07-22,Customer Transfer to - 072*******975 Susan Burns,COMPLETED,0.0,1406.64,-302132.74
AVL4P7B8PS,2024-07-22,Customer Transfer of Funds Charge,COMPLETED,0.0,30.59,-302163.33
18QIMPREWL,2024-07-22,Funds received from - 071*******909 Timothy Kelly,COMPLETED,1150.01,0.0,-301013.32
C2ZC5P4JD6,2024-07-23,Customer Send Money to Micro SME Business received from - 077*******433 Deanna Sanchez,COMPLETED,4847.59,0.0,-296165.73
7NLI5BE2L0,2024-07-23,"Merchant Payment Online to 576785 - Murray, Hamilton and Jones",COMPLETED,0.0,1208.76,-297374.49
PYL6F6DQIT,2024-07-23,Customer Transfer Fuliza to - 071*******417 Mark Leon,COMPLETED,0.0,2131.86,-299506.35
V67V44YJI1,2024-07-23,Customer Transfer to - 070*******603 Teresa Lewis,COMPLETED,0.0,263.39,-299769.74
MXNFSZSAKI,2024-07-23,Small Business Transfer to Other Small Business to - CHEMIST PLUS,COMPLETED,0.0,2837.75,-302607.49
R01OMDNQ05,2024-07-23,"Customer Withdrawal At Agent Till 878108 - Perez, Smith and Murray Agency",COMPLETED,0.0,7793.42,-310400.91
7K44A3QJIX,2024-07-23,Pay Bill Online to 992209 - KPLC PREPAID,COMPLETED,0.0,5428.23,-315829.14
JWZFOSPJ3C,2024-07-24,Pay Bill Online to 954083 - Water Company Acc. MO6GZMILRN0F,COMPLETED,0.0,1683.98,-317513.12
P42RZBHTMS,2024-07-24,Funds received from - 2540*******961 Carlos Collins,COMPLETED,2722.34,0.0,-314790.78
O0IWDVP6U4,2024-07-24,M-Shwari Deposit to Account 66ZPCCB0VGSK,COMPLETED,0.0,3755.77,-318546.55
VB61RY12W5,2024-07-24,Airtime Purchase for 2547*******741,COMPLETED,0.0,101.28,-318647.83
EQJ62UZHIZ,2024-07-25,Customer Send Money to Micro SME Business with Fuliza MPesa to - 2540*******124 MAMA MBOGA TRADERS,COMPLETED,0.0,422.47,-319070.3
0WGDDYQG2D,2024-07-25,KCB M-PESA Withdrawal from Account IS7N4DSZ1YFK,COMPLETED,3313.75,0.0,-315756.55
BAXEVID2ZD,2024-07-25,Customer Transfer Fuliza to - 2547*******259 James Harrison,COMPLETED,0.0,1292.2,-317048.75
CWYLF8NOYR,2024-07-25,Customer Send Money to Micro SME Business to - 2540*******211 MAMA MBOGA TRADERS,COMPLETED,0.0,2654.58,-319703.33
17MVQ7UW5Q,2024-07-26,Merchant Payment Online to 506864 - Stone-Love,COMPLETED,0.0,4046.02,-323749.35
LY7SD735YZ,2024-07-26,Customer Transfer to - 2540*******622 Samuel Mitchell,COMPLETED,0.0,1228.1,-324977.45
4EOTHKXWMD,2024-07-26,M-Shwari Deposit to Account WKC8S4LV9KF7,COMPLETED,0.0,1282.7,-326260.15
YR7ZQVO8YW,2024-07-26,Merchant Payment Online to 806863 - White Group,COMPLETED,0.0,3194.49,-329454.64
ZVZ1FJWN6M,2024-07-26,OD Loan Repayment to 232323 - M-PESA Overdraw,COMPLETED,0.0,901.4,-330356.04
XX1DVPN5TH,2024-07-26,Customer Transfer to - 077*******862 Karen Brown,COMPLETED,0.0,915.36,-331271.4
2IBCMF02LF,2024-07-27,Customer Send Money to Micro SME Business to - 072*******137 MPESA AGENT 001,COMPLETED,0.0,593.42,-331864.82
NZE81072MB,2024-07-27,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,85.77,-331950.59
32GZ9SS6DJ,2024-07-28,OD Loan Repayment to 232323 - M-PESA Overdraw,COMPLETED,0.0,2379.16,-334329.75
IGEMODZ5KT,2024-07-28,Customer Transfer to - 072*******195 Samuel Mitchell,COMPLETED,0.0,2488.76,-336818.51
RKCHFTXEUD,2024-07-28,Customer Withdrawal At Agent Till 939612 - Gray and Sons Agency,COMPLETED,0.0,6290.39,-343108.9
LDCMAJRQ04,2024-07-29,Customer Transfer to - 071*******686 Beth Anderson,COMPLETED,0.0,1648.71,-344757.61
NYMHUD62LX,2024-07-29,"Deposit of Funds at Agent Till 492159 - English, Carter and Murphy Agency",COMPLETED,5377.56,0.0,-339380.05
YX17YVAWGP,2024-07-29,Funds received from - 2540*******357 Deanna Sanchez,COMPLETED,2411.33,0.0,-336968.72
17U72ILOFP,2024-07-29,Customer Payment to Small Business to - 2542*******260 KINYOZI BARBER,COMPLETED,0.0,207.16,-337175.88
5CLWFKCW2L,2024-07-30,Pay Merchant to 427710 - Munoz-Wilson,COMPLETED,0.0,3812.7,-340988.58
FT8BWWSOKU,2024-07-30,Pay Bill Online to 173540 - NHIF Acc. BLUSRXU63H40,COMPLETED,0.0,1365.0,-342353.58
IWB0EOUEVD,2024-07-31,Customer Transfer to - 2540*******680 Timothy Kelly,COMPLETED,0.0,1340.09,-343693.67
LEE5K9S1RS,2024-07-31,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,66.4,-343760.07
334VQQ7LJU,2024-08-01,Funds received from - 2547*******532 Morgan Ellis,COMPLETED,396.5,0.0,-343363.57
A0W39OGHNL,2024-08-02,"Merchant Payment Online to 288208 - Garcia, Barrera and Olson",COMPLETED,0.0,850.96,-344214.53
2Y1CHBL4F6,2024-08-02,Customer Transfer to - 071*******678 Kathy Crawford,COMPLETED,0.0,225.24,-344439.77
S25O4SKKMQ,2024-08-02,Pay Bill Online to 554182 - Sportpesa Acc. NER4EI64AKFU,COMPLETED,0.0,1545.17,-345984.94
4CP3NJUUZ9,2024-08-02,"Promotion Payment from - Hood, Black and Burke",COMPLETED,1484.44,0.0,-344500.5
R3J81HG4OJ,2024-08-02,"Merchant Payment Online to 430017 - Russell, Avila and Jennings",COMPLETED,0.0,3991.0,-348491.5
U0A71AL2NG,2024-08-03,Term Loan Repayment - Hustler Fund,COMPLETED,0.0,771.2,-349262.7
PQNJ59F6XV,2024-08-03,Customer Send Money to Micro SME Business to - 2547*******799 MTUMBA SHOP,COMPLETED,0.0,2571.79,-351834.49
9NIZMAY2ED,2024-08-03,Customer Send Money to Micro SME Business to - 070*******384 BODABODA SACCO,COMPLETED,0.0,2029.59,-353864.08
ZGUOJ2WHPX,2024-08-03,"Deposit of Funds at Agent Till 593092 - Henderson, Mcdaniel and Harrison Agency",COMPLETED,688.48,0.0,-353175.6
M7XFRQHZXF,2024-08-03,Pay Bill Charge,COMPLETED,0.0,17.91,-353193.51
WHH6OSH3NU,2024-08-04,Pay Merchant to 589482 - Davis LLC,COMPLETED,0.0,1029.35,-354222.86
